VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,"12/1/2020, 6:58:30 AM","12/1/2020, 7:45:01 AM",1,14.74,5,N,68,76,2,57.2,0,0,0,0,0.3,60,2.5,-
2,"12/1/2020, 6:29:18 AM","12/1/2020, 6:33:42 AM",1,1.84,1,N,237,100,2,7,0.5,0.5,0,0,0.3,10.8,2.5,-
2,"12/1/2020, 6:39:20 AM","12/1/2020, 6:49:01 AM",1,3.6,1,N,162,226,2,12.5,0.5,0.5,0,0,0.3,16.3,2.5,-
2,"12/1/2020, 6:58:24 AM","12/1/2020, 7:00:07 AM",1,0.71,1,N,186,48,2,4,0.5,0.5,0,0,0.3,7.8,2.5,-
2,"12/1/2020, 6:56:18 AM","12/1/2020, 7:00:07 AM",1,1.23,1,N,68,163,1,6,0.5,0.5,1,0,0.3,10.8,2.5,-
2,"12/1/2020, 6:45:59 AM","12/1/2020, 6:48:17 AM",2,0.52,1,N,68,68,1,4,0.5,0.5,3,0,0.3,10.8,2.5,-
2,"12/1/2020, 7:17:34 AM","12/1/2020, 7:44:02 AM",1,7.77,1,N,186,61,1,25,0.5,0.5,0,0,0.3,28.8,2.5,-
2,"12/1/2020, 6:43:09 AM","12/1/2020, 6:55:18 AM",2,4.05,1,N,236,116,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5,-
2,"12/1/2020, 6:51:37 AM","12/1/2020, 7:15:47 AM",1,11.19,1,N,186,14,1,31.5,0.5,0.5,8.82,0,0.3,44.12,2.5,-
2,"12/1/2020, 6:54:56 AM","12/1/2020, 7:00:09 AM",1,1.73,1,N,142,238,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5,-
2,"12/1/2020, 6:40:42 AM","12/1/2020, 6:52:25 AM",1,4.52,1,N,263,114,2,14,0.5,0.5,0,0,0.3,17.8,2.5,-
2,"12/1/2020, 7:11:43 AM","12/1/2020, 7:41:44 AM",5,11.9,1,N,231,244,1,36.5,0.5,0.5,2,0,0.3,42.3,2.5,-
